time,R_est,theta_deg,Q_F,Q_L,Q_R,chosen_action,chosen_action_name,front_state,front_min_depth_m,front_invalid_ratio,left_depth,center_depth,right_depth,left_invalid_ratio,center_invalid_ratio,right_invalid_ratio,left_danger,center_danger,right_danger,target_visible,target_like_front_object,depth_avoidance_active,disable_avoidance_near_target,ignore_invalids_near_target,s_forward_step,dpsi_step_deg,reward
1778602477.6917365,10.0,0.0,6.442644,7.311658,6.9390287,1,L,SAFE,1.496,0.21345486111111112,0.893,0.882,0.877,0.31384487480438183,0.3213761737089202,0.3596427180685358,0.2039991686228482,0.24707633109261634,0.23496094856273017,0,0,0,0,0,0.0003984458975284616,0.0,-0.17631704807281492
1778602477.9386747,5.2421856,11.347314,6.319317,7.212353,6.8484993,1,L,SAFE,1.427,0.2029513888888889,0.873,0.876,0.881,0.30543329420970267,0.31866197183098594,0.35891257788161995,0.2013157321453977,0.2474333119931712,0.233293175623053,0,0,0,0,0,0.0,0.0,0.10061543941497807
1778602478.1787684,5.1188173,22.52168,7.4510546,7.732252,7.742054,2,R,SAFE,1.496,0.16548032407407406,0.547,0.905,0.914,0.4461805555555556,0.3003227699530516,0.3295852803738318,0.42246054292929297,0.22526030551998863,0.21423043224299065,1,0,0,0,0,0.0,0.0,0.1083505487442017
1778602478.3648508,5.106062,20.439493,10.24975,10.122413,10.325824,2,R,SAFE,1.414,0.19927662037037036,0.624,0.872,0.869,0.35895931142410015,0.31000586854460094,0.35421534267912774,0.33514173424384697,0.24322098627116234,0.2346149727414331,1,0,0,0,0,0.0009961147438211537,0.0,0.04974446058273316
1778602478.542579,5.1939373,13.416141,10.276447,10.1718855,10.382205,2,R,SAFE,1.484,0.19087094907407406,0.884,0.882,0.895,0.3100303208137715,0.32575312989045385,0.35071066978193144,0.20151970852895149,0.2499213526106132,0.22796193535825543,0,0,0,0,0,0.000199222948764231,0.0279122144872872,-0.17618666648864748
1778602478.7247365,5.2103,8.032305,7.763887,7.9337397,8.003265,2,R,SAFE,1.447,0.2207175925925926,0.867,0.871,0.848,0.30741392801251954,0.3018632629107981,0.39683119158878505,0.2049895077535923,0.23828182796272587,0.27066754725998304,1,0,0,0,0,0.0003984458975284616,0.03534016994802869,0.01365936517715454
1778602478.9417539,5.268049,0.2461981,10.166544,10.374293,10.174176,1,L,SAFE,1.62,0.20546875,0.902,0.893,0.874,0.34277190923317685,0.3123532863849765,0.3140819704049844,0.22280174100156497,0.23732256544316405,0.20653964439960357,0,0,0,0,0,0.0,0.0,-0.3497782588005066
1778602479.1419427,5.2688446,2.5447066,7.344552,7.462898,7.199439,1,L,SAFE,1.912,0.2038917824074074,0.906,0.904,0.871,0.3357785602503912,0.35323748043818465,0.31230529595015577,0.21825606416275428,0.26000840268886044,0.20657798782214676,0,0,0,0,0,-0.0005976688462926922,0.0,-0.1793524146080017
1778602479.3500466,5.2397943,6.575376,7.1644583,7.489266,7.2024956,1,L,SAFE,1.43,0.2197337962962963,0.879,0.874,0.859,0.32543525039123633,0.33912852112676056,0.37816394080996885,0.21193064002703094,0.2614436397424954,0.2541588342537525,1,0,0,0,0,0.0,0.0,-0.08739902973175048
1778602479.543492,5.253443,14.875951,10.181665,10.406933,10.15862,1,L,SAFE,1.484,0.1822193287037037,0.911,0.9,0.909,0.29125097809076683,0.3336023082942097,0.3602511682242991,0.18931313575899844,0.2486596822094182,0.2341632593457944,1,0,0,0,0,-0.0003984458975284616,-0.018532805720781198,-0.18859310388565065
